"id","condition","trial","gameType","S","T","opponentType","encounter","prediction","choice","opponent_choice","rt","reward"
7778378,"single",54,"HG",9,6,"optimist",14,100,"cooperate","cooperate",2467,10
7778378,"single",55,"SH",1,8,"optimist",15,100,"cooperate","cooperate",2084,10
7778378,"single",56,"HG",9,6,"trustful",16,100,"cooperate","cooperate",2458,10
7778378,"single",57,"SG",8,13,"pessimist",17,-27,"cheat","cooperate",3614,13
7778378,"single",58,"SG",8,13,"trustful",17,31,"cheat","cooperate",4269,13
7778378,"single",59,"PD",1,12,"trustful",18,-70,"cheat","cooperate",2040,12
7778378,"single",60,"HG",7,6,"pessimist",18,100,"cooperate","cooperate",4639,10
7778378,"single",61,"SH",1,7,"envious",10,100,"cooperate","cheat",4163,1
7778378,"single",62,"SG",8,12,"envious",11,69,"cooperate","cheat",3492,8
7778378,"single",63,"SH",1,6,"trustful",19,100,"cooperate","cooperate",2076,10
7778378,"single",64,"SH",1,7,"pessimist",19,100,"cooperate","cheat",2623,1
7778378,"single",65,"HG",7,6,"envious",12,100,"cooperate","cooperate",2832,10
7778378,"single",66,"HG",9,8,"optimist",16,100,"cooperate","cooperate",3224,10
7778378,"single",67,"SG",8,14,"optimist",17,-36,"cheat","cheat",2353,5
7778378,"single",68,"PD",2,14,"envious",13,-45,"cheat","cheat",3636,5
7778378,"single",69,"HG",9,7,"optimist",18,92,"cooperate","cooperate",4532,10
7778378,"single",70,"HG",8,8,"trustful",20,97,"cooperate","cooperate",2160,10
7778378,"single",71,"SG",9,12,"pessimist",20,98,"cooperate","cooperate",3293,10
7778378,"single",72,"PD",1,14,"optimist",19,-68,"cheat","cheat",3220,5
7778378,"single",73,"SH",3,7,"trustful",21,100,"cooperate","cooperate",5952,10
7778378,"single",74,"HG",9,8,"pessimist",21,100,"cooperate","cooperate",3614,10
7778378,"single",75,"PD",3,13,"envious",14,100,"cooperate","cheat",3279,3
7778378,"single",76,"SH",3,7,"optimist",20,100,"cooperate","cooperate",2461,10
7778378,"single",77,"SG",9,13,"pessimist",22,-62,"cheat","cooperate",2650,13
7778378,"single",78,"SH",3,6,"trustful",22,100,"cooperate","cooperate",2691,10
7778378,"single",79,"SG",9,12,"optimist",21,-37,"cheat","cheat",2375,5
7778378,"single",80,"SG",8,13,"optimist",22,24,"cheat","cheat",2490,5
7778378,"single",81,"SH",3,6,"pessimist",23,100,"cooperate","cheat",2271,3
7778378,"single",82,"SG",7,13,"envious",15,48,"cooperate","cheat",2902,7
7778378,"single",83,"HG",7,7,"envious",16,100,"cooperate","cheat",2003,7
7778378,"single",84,"PD",1,14,"pessimist",24,-48,"cheat","cheat",2009,5
7778378,"single",85,"HG",9,6,"envious",17,100,"cooperate","cooperate",2433,10
7778378,"single",86,"PD",3,12,"pessimist",25,77,"cooperate","cheat",3630,3
7778378,"single",87,"SH",1,6,"envious",18,97,"cooperate","cheat",2470,1
7778378,"single",88,"SH",3,6,"optimist",23,94,"cooperate","cooperate",2496,10
7778378,"single",89,"SG",7,12,"pessimist",26,-67,"cheat","cooperate",5560,12
7778378,"single",90,"SH",1,8,"trustful",23,84,"cooperate","cooperate",4778,10
7778378,"single",91,"SG",9,14,"optimist",24,72,"cooperate","cheat",2478,9
7778378,"single",92,"SG",9,14,"envious",19,66,"cooperate","cheat",2154,9
7778378,"single",93,"HG",9,8,"envious",20,100,"cooperate","cooperate",59922,10
7778378,"single",94,"SH",2,6,"optimist",25,100,"cooperate","cooperate",4343,10
7778378,"single",95,"PD",1,12,"optimist",26,-69,"cheat","cheat",3886,5
7778378,"single",96,"SG",9,12,"trustful",24,-35,"cooperate","cooperate",3324,10
7778378,"single",97,"PD",3,14,"pessimist",27,-48,"cheat","cheat",5302,5
7778378,"single",98,"PD",1,13,"envious",21,-65,"cheat","cheat",2648,5
7778378,"single",99,"SH",2,7,"trustful",25,100,"cooperate","cooperate",4284,10
7778378,"single",100,"PD",3,12,"envious",22,-41,"cheat","cheat",3887,5
7778378,"single",101,"PD",1,12,"pessimist",28,-86,"cheat","cheat",3847,5
7778378,"single",102,"SG",8,14,"envious",23,58,"cooperate","cheat",2897,8
7778378,"single",103,"PD",3,13,"trustful",26,-59,"cheat","cooperate",2031,13
7778378,"single",104,"SH",2,8,"optimist",27,100,"cooperate","cooperate",5336,10
7778378,"single",105,"PD",3,13,"pessimist",29,-75,"cheat","cheat",2223,5
7778378,"single",106,"PD",3,14,"trustful",27,-75,"cheat","cooperate",1344,14
7778378,"single",107,"HG",9,7,"envious",24,100,"cooperate","cooperate",2099,10
7778378,"single",108,"PD",2,12,"optimist",28,-62,"cheat","cheat",1954,5
7778378,"single",109,"PD",2,14,"trustful",28,-82,"cheat","cooperate",1850,14
7778378,"single",110,"SH",3,7,"pessimist",30,100,"cooperate","cheat",2994,3
7778378,"single",111,"SH",2,8,"envious",25,97,"cooperate","cheat",2827,2
7778378,"single",112,"SG",9,13,"envious",26,-84,"cheat","cheat",2467,5
7778378,"single",113,"SH",1,6,"pessimist",31,100,"cooperate","cheat",3441,1
7778378,"single",114,"SG",7,13,"pessimist",32,-42,"cheat","cooperate",2583,13
7778378,"single",115,"HG",7,7,"trustful",29,93,"cooperate","cooperate",3121,10
7778378,"single",116,"SH",3,8,"optimist",29,100,"cooperate","cooperate",1997,10
7778378,"single",117,"HG",8,6,"envious",27,90,"cooperate","cooperate",1748,10
7778378,"single",118,"SH",3,6,"envious",28,100,"cooperate","cheat",9323,3
7778378,"single",119,"SG",8,12,"trustful",30,88,"cooperate","cooperate",3512,10
7778378,"single",120,"SH",2,6,"pessimist",33,92,"cooperate","cheat",2100,2
7778378,"single",121,"HG",8,7,"optimist",30,99,"cooperate","cooperate",5782,10
7778378,"single",122,"SH",2,7,"optimist",31,98,"cooperate","cooperate",2952,10
7778378,"single",123,"HG",8,8,"optimist",32,97,"cooperate","cooperate",3269,10
7778378,"single",124,"PD",2,13,"envious",29,-83,"cheat","cheat",2768,5
7778378,"single",125,"HG",8,6,"optimist",33,96,"cooperate","cooperate",2359,10
7778378,"single",126,"PD",3,14,"optimist",34,-89,"cheat","cheat",2425,5
7778378,"single",127,"SG",7,12,"envious",30,-74,"cheat","cheat",2688,5
7778378,"single",128,"SG",8,12,"pessimist",34,-70,"cooperate","cooperate",4640,10
7778378,"single",129,"SH",1,8,"envious",31,97,"cooperate","cheat",2159,1
7778378,"single",130,"PD",3,14,"envious",32,-70,"cheat","cheat",2659,5
7778378,"single",131,"SG",9,13,"trustful",31,93,"cooperate","cooperate",3336,10
7778378,"single",132,"PD",1,12,"envious",33,-84,"cheat","cheat",2206,5
7778378,"single",133,"SH",1,7,"trustful",32,100,"cooperate","cooperate",4122,10
7778378,"single",134,"PD",2,13,"pessimist",35,-93,"cheat","cheat",3246,5
7778378,"single",135,"HG",9,8,"trustful",33,100,"cooperate","cooperate",2406,10
7778378,"single",136,"PD",1,14,"trustful",34,-100,"cheat","cooperate",2784,14
7778378,"single",137,"HG",8,8,"pessimist",36,100,"cooperate","cooperate",2544,10
7778378,"single",138,"HG",8,6,"trustful",35,100,"cooperate","cooperate",2539,10
7778378,"single",139,"SH",2,7,"envious",34,100,"cooperate","cheat",2190,2
7778378,"single",140,"SH",2,8,"trustful",36,100,"cooperate","cooperate",1904,10
7778378,"single",141,"HG",8,7,"envious",35,100,"cooperate","cooperate",2036,10
7778378,"single",142,"PD",2,14,"optimist",35,-100,"cheat","cheat",2041,5
7778378,"single",143,"HG",7,8,"envious",36,100,"cooperate","cheat",1640,7
7778378,"single",144,"SG",7,13,"optimist",36,86,"cooperate","cheat",6724,7
7778381,"single",1,"SH",1,7,"optimist",1,100,"cooperate","cooperate",6834.10000002384,10
7778381,"single",2,"SH",2,8,"optimist",2,100,"cooperate","cooperate",6060.30000001192,10
7778381,"single",3,"SH",1,6,"optimist",3,100,"cooperate","cooperate",2140.69999998808,10
